x,y,z,delta_z,vx,vy,vz,delta_vz,ax,ay,az,heading,delta_heading,dist_bottom,eph,epv,evh,evv,z_reset_counter,vz_reset_counter,heading_reset_counter,dist_bottom_valid
0.03392935583108986,0.33734204105875,0.9162556491506963,0.0,0.3645823220989808,0.47140001703797135,0.1746901179355585,9.71445146547012e-17,0.8596945631416603,0.26741368541570487,0.16490180356408163,0.7212680134903904,0.924224425477123,0.081868155817157,0.26059521424507004,0.48289415141972114,0.48912217577850203,0.6190709175962192,0.0,6.661338147750939e-16,0.07577557452287476,0.9220304965117326
0.015600297550063313,0.3425575059273952,0.9115436148721129,0.0,0.40535302491725317,0.4882646404546673,0.16328089432588477,9.71445146547012e-17,0.945068430675658,0.25992151790582657,0.15337309095914514,0.7277660655056968,0.924333057004751,0.08658983893597948,0.2688753693763868,0.467220557959795,0.4903486912847521,0.6271553140103245,0.0,4.440892098500626e-16,0.07566694299525523,0.9220282241856961
0.003250913797064714,0.3484323333496917,0.9059675361726273,0.0,0.4657972119420658,0.5151199176349327,0.1493131212008913,9.71445146547012e-17,0.9833588198109915,0.32882235837247875,0.15437320146367492,0.7252066543839293,0.9247471355860792,0.09217733584561974,0.2937497967274698,0.47060740496894127,0.5045074082761518,0.639826419777636,0.0,4.440892098500626e-16,0.07525286441392076,0.9220195625976462
0.0,0.35572638504917853,0.9004435232400891,0.0,0.5241514630301052,0.5379086446284633,0.1362151430419385,9.71445146547012e-17,0.900820554317121,0.3639026309733623,0.15645332894266759,0.7200821073337185,0.924333057004751,0.09771266087760358,0.3181729681645642,0.48234981320119275,0.5177065110418022,0.6521892512887781,0.0,4.440892098500626e-16,0.07566694299525523,0.9220282241856961
0.0032397967927093596,0.3661896202436048,0.8942317101212618,0.0,0.5739398521258146,0.5488863631301615,0.1233488732956739,9.71445146547012e-17,0.6783209695080503,0.28114787003138236,0.1454467531919884,0.7227188761992211,0.9227553122513146,0.1039371953823943,0.32819589520457804,0.4816661872206751,0.5170843308493183,0.661935289095009,0.0,6.661338147750939e-16,0.07724468774868853,0.9220612270400291
0.008596675237888485,0.37343401189954384,0.8881319392286404,0.0,0.6148411103008281,0.5585877465344364,0.1120296611234462,9.71445146547012e-17,0.5171470582409945,0.23468412048517304,0.13255706176973273,0.7350163452707639,0.924333057004751,0.1100494579306036,0.31068822415368125,0.4613496981494549,0.498007615947869,0.665867804792998,0.0,6.661338147750939e-16,0.07566694299525523,0.9220282241856961
0.012483851678192992,0.3743562401494456,0.8823757975685994,0.0,0.6539477087808494,0.5775679457523931,0.10185542839855272,9.71445146547012e-17,0.5508108392381353,0.3319908934207711,0.12935221341036762,0.7521692235982655,0.9295459931381344,0.1158173865010698,0.27082795953200467,0.42757757654488415,0.4676401273363249,0.6651557937831098,0.0,6.661338147750939e-16,0.0704540068618682,0.921919181343701
0.015649400104227384,0.37563903545019495,0.8760872195559641,0.0,0.6963290285589003,0.6016926948706931,0.09042074115267723,9.71445146547012e-17,0.7124273773197493,0.43808596950854356,0.135818741114382,0.7595795522361879,0.924333057004751,0.12211884119982776,0.24628168043759047,0.40400914327744175,0.4515445270490046,0.6680875627782799,0.0,4.440892098500626e-16,0.07566694299525523,0.9220282241856961
0.018660136353441437,0.382973975100826,0.8701265504466535,0.0,0.7331372861446367,0.6179824587875612,0.07907367160450385,0.0,0.8561480937083946,0.39150638923661457,0.1534175982940204,0.7475276480340449,0.9048834772706317,0.1280917157901353,0.2727672523463536,0.4147416764156411,0.4728736688190569,0.6803826381578588,0.0,4.440892098500626e-16,0.09511652272936733,0.9224350654351477
0.022897338462054606,0.3899694792337598,0.8641410905422391,0.0,0.7636209807911389,0.6248151158012755,0.06971837012712045,9.71445146547012e-17,0.8524585370022448,0.31931035059136437,0.20177190350805746,0.7565823737803665,0.924333057004751,0.13408943192908548,0.2922682215438286,0.42113096434291464,0.48768851397025426,0.6912687155141599,0.0,4.440892098500626e-16,0.07566694299525523,0.9220282241856961
0.030261216109041977,0.39021353003302195,0.8576160176647124,0.0,0.7871609385755103,0.6229767888314802,0.0651853590692405,9.71445146547012e-17,0.612711573945676,0.3555955677288974,0.3013703477260135,0.8054047200476759,1.0,0.1406278657341395,0.2523766908615954,0.3877604800420187,0.4546525196210771,0.6910731951236118,0.0,4.440892098500626e-16,0.0,0.9204454427553914
